Wavelength_nm,Parans 54m,Parans 25m,Fluorescent lamp FL5,Cool white LED,Warm white LED,Daylight through glass,Unfiltered daylight
300,0.0028916540000000004,0.0028833120000000003,0.0,0.0,0.0,0.0,0.00048300000000000003
301,0.003229262,0.00326491,0.0,0.0,0.0,0.0,0.0016448
302,0.0035668690000000003,0.0036465079999999997,0.0,0.0,0.0,0.0,0.0028066
303,0.003478718,0.0035440420000000003,0.0,0.0,0.0,0.0,0.0039683999999999995
304,0.003292335,0.003457493,0.0,0.0,0.0,0.0,0.0051302
305,0.003676318,0.003729488,0.0,0.0,0.0,0.0,0.006292
306,0.003614064,0.003655854,0.0,0.0,0.0,0.0,0.0098386
307,0.004139882,0.0042366059999999995,0.0,0.0,0.0,0.0,0.0133852
308,0.003853754,0.004042663,0.0,0.0,0.0,0.0,0.0169318
309,0.0039068079999999995,0.004019213,0.0,0.0,0.0,0.0,0.0204784
310,0.003732019,0.003825157,0.0,0.0,0.0,0.0,0.024025
311,0.004062254,0.004113466,0.0,0.0,0.0,0.0,0.0294744
312,0.004115623,0.004163764,0.0,0.0,0.0,0.0,0.034923800000000005
313,0.004220283,0.004353798,0.0,0.0,0.0,0.0,0.040373200000000005
314,0.004383857,0.004520779,0.0,0.0,0.0,0.0,0.045822600000000005
315,0.004112851,0.004302537,0.0,0.0,0.0,0.0,0.051272000000000005
316,0.0044381709999999994,0.004592828,0.0,0.0,0.0,0.0,0.057679400000000006
317,0.004556567,0.004700448,0.0,0.0,0.0,0.0,0.0640868
318,0.004436785,0.004597869,0.0,0.0,0.0,0.0,0.0704942
319,0.004047573,0.004218707,0.0,0.0,0.0,0.0,0.07690160000000001
320,0.004931099,0.005120675999999999,0.0,0.0,0.0,0.0,0.08330900000000001
321,0.004625626,0.0047682490000000004,0.0,0.0,0.0,0.0,0.0912714
322,0.004790901,0.004978901,0.0,0.0,0.0,0.0,0.09923380000000001
323,0.004679878,0.004936079,0.0,0.0,0.0,0.0,0.1071962
324,0.0049116920000000005,0.005062675,0.0,0.0,0.0,0.0,0.1151586
325,0.005244258000000001,0.0054133459999999994,0.0,0.0,0.0,0.0,0.12312100000000001
326,0.005537003,0.005655208,0.0,0.0,0.0,3.57754e-05,0.1322974
327,0.005134621,0.005273666999999999,0.0,0.0,0.0,7.15508e-05,0.1414738
328,0.005065877,0.005227277,0.0,0.0,0.0,0.00010732620000000001,0.1506502
329,0.0052685169999999995,0.005518021,0.0,0.0,0.0,0.0001431016,0.15982659999999999
330,0.00554929,0.005630341999999999,0.0,0.0,0.0,0.000178877,0.169003
331,0.005729687,0.005832271,0.0,0.0,0.0,0.0003937586,0.17002899999999999
332,0.005506316999999999,0.005674183,0.0,0.0,0.0,0.0006086402,0.17105499999999998
333,0.0051625970000000005,0.005328156,0.0,0.0,0.0,0.0008235218000000001,0.17208099999999998
334,0.005264736,0.005451296,0.0,0.0,0.0,0.0010384034,0.17310699999999998
335,0.005845058,0.005956771,0.0,0.0,0.0,0.001253285,0.17413299999999998
336,0.005661635999999999,0.005952069,0.0,0.0,0.0,0.0020567581999999997,0.1794654
337,0.005226993,0.00545917,0.0,0.0,0.0,0.0028602313999999997,0.18479779999999998
338,0.0053446330000000005,0.0055518930000000005,0.0,0.0,0.0,0.0036637045999999996,0.1901302
339,0.006195646,0.0063005890000000005,0.0,0.0,0.0,0.0044671777999999995,0.1954626
340,0.0060816609999999995,0.006242587,0.0,0.0,0.0,0.0052706509999999995,0.200795
341,0.005423774,0.0056641009999999995,0.0,0.0,0.0,0.0068905124,0.2020522
342,0.005889354,0.006094978000000001,0.0,0.0,0.0,0.0085103738,0.2033094
343,0.005751300000000001,0.005953882,0.0,0.0,0.0,0.0101302352,0.2045666
344,0.0060664759999999995,0.006272267,0.0,0.0,0.0,0.011750096600000001,0.2058238
345,0.005949529,0.00611973,0.0,0.0,0.0,0.013369958000000001,0.207081
346,0.005654201,0.005979258,0.0,0.0,0.0,0.0164190788,0.2114884
347,0.005731261999999999,0.0059180840000000005,0.0,0.0,0.0,0.0194681996,0.2158958
348,0.005930436999999999,0.006100075,0.0,0.0,0.0,0.022517320400000002,0.22030319999999998
349,0.005721810999999999,0.006000498000000001,0.0,0.0,0.0,0.0255664412,0.22471059999999998
350,0.0063021330000000006,0.006452843000000001,0.0,0.0,0.0,0.028615562,0.229118
351,0.0057876559999999995,0.0060334640000000005,0.0,0.0,0.0,0.0328269618,0.234306
352,0.006164393000000001,0.006468589,0.0,0.0,0.0,0.0370383616,0.23949399999999998
353,0.00635147,0.00664452,0.0,0.0,0.0,0.0412497614,0.244682
354,0.005876185,0.006101945,0.0,0.0,0.0,0.0454611612,0.24987
355,0.006036294,0.006324718000000001,0.0,0.0,0.0,0.049672561,0.255058
356,0.006437604,0.006685925,0.0,0.0,0.0,0.0526258576,0.252558
357,0.0064819000000000005,0.006773947,0.0,0.0,0.0,0.0555791542,0.250058
358,0.006317255,0.006707846,0.0,0.0,0.0,0.0585324508,0.247558
359,0.0061927480000000005,0.006603851,0.0,0.0,0.0,0.0614857474,0.245058
360,0.00651706,0.006904507,0.0,0.0,0.0,0.064439044,0.242558
361,0.006457956999999999,0.006883946,0.0,0.0,0.0,0.0732039568,0.2575002
362,0.006577865,0.006916515,0.0,0.0,0.0,0.08196886960000001,0.27244240000000003
363,0.0065694840000000004,0.006995927,0.0,0.0,0.0,0.0907337824,0.2873846
364,0.006575659,0.007100431999999999,0.0,0.0,0.0,0.09949869520000001,0.3023268
365,0.0069130780000000005,0.00745116,0.0,0.0,0.0,0.10826360800000001,0.317269
366,0.0070753909999999995,0.0074984,0.0,0.0,0.0,0.11424154980000001,0.3227314
367,0.006932674000000001,0.007360645999999999,0.0,0.0,0.0,0.1202194916,0.3281938
368,0.007075706,0.007653713,0.0,0.0,0.0,0.1261974334,0.3336562
369,0.007256923,0.0077613330000000005,0.0,0.0,0.0,0.1321753752,0.3391186
370,0.00715617,0.007678239,0.0,0.0,0.0,0.138153317,0.34458099999999997
371,0.007184903,0.007790899999999999,0.0,0.0,0.0,0.1377900386,0.3391186
372,0.0072666269999999995,0.007893535,0.0,0.0,0.0,0.1374267602,0.3336562
373,0.007170915,0.007928654,0.0,0.0,0.0,0.1370634818,0.3281938
374,0.007300399999999999,0.008097617,0.0,0.0,0.0,0.1367002034,0.3227314
375,0.007682051999999999,0.008381451,0.0,0.0,0.0,0.136336925,0.317269
376,0.0077830569999999995,0.008527984,0.009175599999999999,0.0,0.0,0.1423874762,0.3280926
377,0.0077774490000000005,0.008625691999999999,0.018351199999999998,0.0,0.0,0.1484380274,0.3389162
378,0.008067673000000001,0.009022187,0.027526799999999997,0.0,0.0,0.15448857859999998,0.3497398
379,0.008438108,0.009305794000000001,0.036702399999999996,0.0,0.0,0.16053912979999999,0.3605634
380,0.008241390999999999,0.00933134,0.045877999999999995,0.0,0.0,0.166589681,0.37138699999999997
381,0.008264012,0.009385433,0.048233399999999996,0.0,0.0,0.1642961106,0.3579478
382,0.008747235,0.009873858000000001,0.050588799999999996,0.0,0.0,0.1620025402,0.3445086
383,0.009386976,0.010430763000000001,0.0529442,0.0,0.0,0.15970896980000002,0.33106939999999996
